angDist,SourceID,RA,DEC,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R,J,H,K,u,g,r,i,z
1.864655,18,5.0806755500000005,59.30322465,[HL90]  58,5.0800000000,+59.3036111111,,,172,1,00 20 19.2    ,+59 18 13     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.747837,19,5.0753239,59.3081667,[BHW93] 001734.9+590152,5.0746143087,+59.3084900267,,,172,1,00 20 17.9    ,+59 18 31     ,D,1993A&A...268..483B,Maser,Mas,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.026748,23,5.0762611,59.2995195,[LL2015] 30,5.0762723599,+59.2995242072,0.002,0.002,90,2,00 20 18.30537,+59 17 58.2871,A,2018yCat.1345....0G,Cl*,*|Cl*,,,,,,,,,-15.745,-2.989,3.865,3.075,90,0.017000,0.017000,90,20.382,19.518,18.798,,,,,,,,
1.176509,34,5.072629,59.3098358,NVSS J002017+591841,5.0725165661,+59.3101575304,,,172,1,00 20 17.4    ,+59 18 37     ,D,1989A&A...214...33S,Radio,PoG|Rad,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.984942,45,5.0592545,59.302743050000004,[DBL2004] 265,5.0601250000,+59.3024166667,,,172,1,00 20 14.43   ,+59 18 08.7   ,D,2004A&A...424..125D,C*,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.854526,52,5.0806435,59.30930065,[HL90]  61,5.0812500000,+59.3088888889,,,172,1,00 20 19.5    ,+59 18 32     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.173670,55,5.0724111,59.3111275,[BGR2000] Br 1,5.0725000000,+59.3111111111,,,172,14,00 20 17.4    ,+59 18 40     ,D,,HII,HII|PoG,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.388809,55,5.0724111,59.3111275,WBBH J002017+591839.7,5.0724583333,+59.3110222222,,,172,2,00 20 17.390  ,+59 18 39.68  ,C,2017MNRAS.467.2113W,Radio,Rad,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.622860,55,5.0724111,59.3111275,[PSB2020] IC   10  9,5.0720833333,+59.3110833333,,,172,1,00 20 17.30   ,+59 18 39.9   ,E,2020AJ....160...66P,HIshell,,-361.000,,-0.0012034,,,,,,,,,,,0.250000,0.250000,0,,,,,,,,,,,
0.839107,55,5.0724111,59.3111275,IRAS 00175+5902,5.0726136660,+59.3109185974,0.004,0.007,90,4,00 20 17.42728,+59 18 39.3070,C,2020yCat.1350....0G,MIR,*|IR|MIR,,,,,,,,,,,,,32767,,,,,,,15.266,14.676,13.796,,,,,
0.944637,55,5.0724111,59.3111275,[TCA2017] T5,5.0726250000,+59.3108888889,,,172,2,00 20 17.43   ,+59 18 39.2   ,C,2017MNRAS.472.4618T,WR*,WR*|WR?,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065818,64,5.073995549999999,59.29613635,[LL2015] 27,5.0740312636,+59.2961350349,0.000,0.000,90,3,00 20 17.76750,+59 17 46.0861,A,2020yCat.1350....0G,Cl*,*|Cl*,,,,,,,0.4022,0.3683,0.674,0.053,0.251,0.262,90,0.015000,0.015000,90,19.180,18.507,18.008,,,,,,,,
0.032157,65,5.0716503,59.29596955,[LL2015] 24,5.0716640537,+59.2959750699,0.000,0.000,90,3,00 20 17.19937,+59 17 45.5103,A,2020yCat.1350....0G,Cl*,*|Cl*,,,,,,,0.6544,0.5078,-1.606,-1.892,0.463,0.490,90,0.047000,0.047000,90,18.691,17.590,16.759,,,,,,,,
1.871228,73,5.075797550000001,59.2957434,[HL90]  46,5.0762500000,+59.2952777778,,,172,3,00 20 18.3    ,+59 17 43     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.264632,77,5.087092,59.2998002,[WWW2005] XA 11,5.0871166667,+59.2997277778,0.220,0.130,128,7,00 20 20.908  ,+59 17 59.02  ,C,2003yCat.2246....0C,X,X,,,,,,,,,,,,,,,,,,,,16.450,15.400,15.500,,,,,
0.291038,77,5.087092,59.2998002,LGGS J002020.94+591759.3,5.0872500000,+59.2998055556,0.100,0.100,90,2,00 20 20.94   ,+59 17 59.3   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,21.160,19.950,,,,,,,,,
0.079779,85,5.08476325,59.3104612,LGGS J002020.35+591837.6,5.0847916667,+59.3104444444,0.100,0.100,90,2,00 20 20.35   ,+59 18 37.6   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,19.940,19.110,,,,,,,,,
0.298226,85,5.08476325,59.3104612,[TG2009] 36,5.0846666667,+59.3105277778,,,172,2,00 20 20.32   ,+59 18 37.9   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.023000,0.023000,90,18.785,18.036,17.315,,,,,,,,
0.361142,85,5.08476325,59.3104612,[TCA2017] T6,5.0847500000,+59.3103611111,,,172,1,00 20 20.34   ,+59 18 37.3   ,C,2017MNRAS.472.4618T,WR*,WR*|WR?,,,,,,,,,,,,,,,,,,,,,,,,19.222,,,
1.698588,85,5.08476325,59.3104612,RSMV  8,5.0856666667,+59.3103611111,0.100,0.100,90,6,00 20 20.56   ,+59 18 37.3   ,C,2007AJ....134.2474M,WR*,*|WR*,,,,,WN10,,,,,,,,,,,,20.920,20.240,19.630,,,,,,,,
1.857134,85,5.08476325,59.3104612,LGGS J002020.31+591839.5,5.0846250000,+59.3109722222,,,172,1,00 20 20.31   ,+59 18 39.5   ,D,2007AJ....133.2393M,Star,*,,,,,,,,,,,,,,,,,21.970,21.540,20.840,,,,,,,,
1.720084,87,5.0867399,59.2982148,[HL90]  65,5.0858333333,+59.2983333333,,,172,1,00 20 20.6    ,+59 17 54     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.876331,87,5.0867399,59.2982148,[DBL2004] 348,5.0873333333,+59.2986388889,,,172,1,00 20 20.96   ,+59 17 55.1   ,D,2004A&A...424..125D,C*,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.205743,90,5.08356885,59.311453650000004,LGGS J002020.03+591841.2,5.0834583333,+59.3114444444,0.100,0.100,90,1,00 20 20.03   ,+59 18 41.2   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,20.920,20.200,,,,,,,,,
0.312079,91,5.090285,59.306192949999996,[TG2009] 39,5.0902500000,+59.3062777778,,,172,2,00 20 21.66   ,+59 18 22.6   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.017000,0.017000,90,21.073,20.294,19.664,,,,,,,,
1.396542,91,5.090285,59.306192949999996,[WM98] HI 7,5.0900000000,+59.3058333333,,,172,2,00 20 21.6    ,+59 18 21     ,D,1998AJ....116.2363W,HIshell,sh,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.723837,93,5.0769511,59.294592,WBBH J002018+591740.9,5.0760375000,+59.2947000000,,,172,2,00 20 18.249  ,+59 17 40.92  ,C,2017MNRAS.467.2113W,Radio,Rad,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.799991,101,5.0828941499999996,59.2954997,[HL90]  62,5.0829166667,+59.2952777778,,,172,1,00 20 19.9    ,+59 17 43     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.633416,103,5.06111515,59.31239865,[HL90]  35,5.0608333333,+59.3125000000,,,172,1,00 20 14.6    ,+59 18 45     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.885767,112,5.0859158,59.3117998,[MAC92]  6,5.0849583333,+59.3116111111,,,172,4,00 20 20.39   ,+59 18 41.8   ,D,,WR*,WR*,,,,,WN,,,,,,,,,,,,,,,,,,,,,,
0.104263,115,5.0750930499999996,59.314524899999995,LGGS J002018.03+591852.3,5.0750551813,+59.3145033285,0.000,0.000,90,1,00 20 18.01324,+59 18 52.2120,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,0.1614,0.2520,-2.336,1.187,0.229,0.249,90,,,,21.170,19.940,,,,,,,,,
0.111659,116,5.0930581,59.302648250000004,LGGS J002022.35+591809.5,5.0930522058,+59.3026173801,0.000,0.000,90,1,00 20 22.33253,+59 18 09.4226,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,0.9741,0.5867,0.436,-0.317,0.504,0.527,90,,,,21.180,20.540,,,,,,,,,
1.489160,116,5.0930581,59.302648250000004,[HL90]  76,5.0929166667,+59.3030555556,,,172,1,00 20 22.3    ,+59 18 11     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.468749,118,5.090999200000001,59.29872535,RSMV  4,5.0917916667,+59.2987777778,,,172,1,00 20 22.03   ,+59 17 55.6   ,D,2001A&A...366L...1R,WR*,WR*,,,,,WC?,,,,,,,,,,,,,,,,,,,,,,
0.095465,119,5.0876795999999995,59.296236750000006,LGGS J002021.06+591746.6,5.0876736116,+59.2962630912,0.000,0.000,90,1,00 20 21.04167,+59 17 46.5471,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,0.3512,0.2269,0.142,-0.388,0.211,0.227,90,,,,20.100,19.390,,,,,,,,,
0.329279,123,5.0782005,59.3150274,[TG2009] 32,5.0781250000,+59.3149444444,,,172,3,00 20 18.75   ,+59 18 53.8   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.092000,0.092000,90,19.450,18.715,18.023,,,,,,,,
1.552502,128,5.0803489,59.3151156,[BGR2000] Br 2,5.0796666667,+59.3148611111,,,172,12,00 20 19.12   ,+59 18 53.5   ,D,2009ApJ...703..370C,SNR,HII|PoG|Rad|SNR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.883455,132,5.0955037999999995,59.301050950000004,[HL90]  86,5.0958333333,+59.3005555556,,,172,1,00 20 23.0    ,+59 18 02     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.502358,137,5.0506062,59.3100468,LGGS J002012.08+591836.2,5.0503333333,+59.3100555556,0.100,0.100,90,1,00 20 12.08   ,+59 18 36.2   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,22.780,22.110,,,,,,,,,
0.391185,141,5.0804206,59.2918795,[TG2009] 34,5.0802500000,+59.2919444444,,,172,3,00 20 19.26   ,+59 17 31.0   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.027000,0.027000,90,21.027,19.731,18.777,,,,,,,,
0.329861,145,5.09571055,59.29941855,LGGS J002022.99+591757.8,5.0957380000,+59.2993280000,0.070,0.070,45,1,00 20 22.977  ,+59 17 57.58  ,C,2003yCat.2246....0C,Em*,*|Em*|IR,,,,,,,,,,,,,,,,,21.520,20.560,,15.870,14.724,14.377,,,,,
1.608145,150,5.068551,59.2908475,[DBL2004] 298,5.0680000000,+59.2911944444,,,172,1,00 20 16.32   ,+59 17 28.3   ,D,2004A&A...424..125D,C*,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.626540,150,5.068551,59.2908475,[DBL2004] 297,5.0676666667,+59.2908611111,,,172,1,00 20 16.24   ,+59 17 27.1   ,D,2004A&A...424..125D,C*,C*,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.077898,156,5.0910831000000005,59.2947367,[MAC92]  7,5.0910671293,+59.2947166571,0.000,0.000,90,13,00 20 21.85611,+59 17 40.9800,A,2020yCat.1350....0G,WR*,*|Cl*|WR*,,,,,WC4/5,,,,-0.683,3.870,0.464,0.495,90,0.010000,0.010000,90,19.760,19.090,18.640,,,,,,,,
0.855828,156,5.0910831000000005,59.2947367,LGGS J002021.97+591741.2,5.0915416667,+59.2947777778,,,172,2,00 20 21.97   ,+59 17 41.2   ,D,2007AJ....133.2393M,Star,*,,,,,,,,,,,,,,,,,20.990,20.790,20.300,,,,,,,,
0.252989,158,5.095367850000001,59.297764799999996,LGGS J002022.90+591751.8,5.0953581289,+59.2976947009,0.000,0.000,90,1,00 20 22.88595,+59 17 51.7009,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,,,-0.180,0.287,0.230,0.266,90,,,,22.230,20.790,,,,,,,,,
1.136615,158,5.095367850000001,59.297764799999996,LGGS J002022.74+591752.0,5.0947500000,+59.2977777778,0.100,0.100,90,1,00 20 22.74   ,+59 17 52.0   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,22.420,21.880,,,,,,,,,
0.142419,165,5.0981904,59.3013423,LGGS J002023.58+591804.9,5.0981188739,+59.3013270796,0.001,0.001,90,1,00 20 23.54853,+59 18 04.7775,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,0.0042,0.7186,-0.269,-1.532,0.652,0.744,90,,,,22.360,21.070,,,,,,,,,
0.379716,166,5.0928504,59.295267,[LSG2012] 13,5.0927422746,+59.2953568730,0.000,0.000,90,1,00 20 22.25815,+59 17 43.2847,A,2020yCat.1350....0G,Star,*|IR,,,,,,,,,0.090,0.211,0.286,0.355,90,,,,23.920,21.680,19.810,15.590,14.470,13.760,,,,,
1.336543,168,5.09894925,59.3023182,[HL90]  92,5.0995833333,+59.3025000000,,,172,1,00 20 23.9    ,+59 18 09     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.448046,176,5.0439207,59.3058944,[TG2009] 16,5.0437916667,+59.3060000000,,,172,2,00 20 10.51   ,+59 18 21.6   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.014000,0.014000,90,23.342,21.888,21.065,,,,,,,,
0.544764,177,5.09763505,59.2976347,[HL90]  89,5.0975000000,+59.2975000000,,,172,3,00 20 23.4    ,+59 17 51     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.076279,181,5.05046465,59.3133483,LGGS J002012.13+591848.0,5.0504767507,+59.3133280312,0.000,0.000,90,1,00 20 12.11442,+59 18 47.9809,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,0.0553,0.1814,-0.141,-0.167,0.161,0.176,90,,,,20.340,19.370,,,,,,,,,
0.198005,184,5.0986842,59.29841285,LGGS J002023.71+591754.3,5.0987916667,+59.2984166667,0.100,0.100,90,1,00 20 23.71   ,+59 17 54.3   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,19.980,19.120,,,,,,,,,
0.761798,185,5.0652172,59.2896577,RSMV 13,5.0654166667,+59.2894722222,,,172,5,00 20 15.70   ,+59 17 22.1   ,D,2001A&A...366L...1R,WR*,WR*,,,,,WN5,,,,,,,,,,,,,,,,,,,,,,
0.462213,187,5.08737135,59.31635975,[TG2009] 38,5.0872500000,+59.3164722222,,,172,2,00 20 20.94   ,+59 18 59.3   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.018000,0.018000,90,21.971,20.982,20.223,,,,,,,,
1.591953,188,5.09664295,59.2961211,LGGS J002023.01+591745.3,5.0958750000,+59.2959166667,0.100,0.100,90,1,00 20 23.01   ,+59 17 45.3   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,21.930,21.300,,,,,,,,,
0.234770,193,5.0685406,59.31859405,LGGS J002016.48+591906.9,5.0686666667,+59.3185833333,0.100,0.100,90,1,00 20 16.48   ,+59 19 06.9   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,20.150,19.190,,,,,,,,,
1.260518,194,5.0478625,59.3125195,[HL90]  28,5.0475000000,+59.3122222222,,,172,1,00 20 11.4    ,+59 18 44     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.325771,210,5.0498355,59.31420045,[WM98] HI 4,5.0500000000,+59.3141666667,,,172,2,00 20 12.0    ,+59 18 51     ,D,1998AJ....116.2363W,HIshell,sh,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.141461,212,5.04943775,59.2938092,LGGS J002011.89+591737.6,5.0494518186,+59.2937705677,0.000,0.000,90,1,00 20 11.86844,+59 17 37.5740,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,,,0.583,-0.735,0.561,0.566,90,,,,21.920,20.880,,,,,,,,,
1.079264,216,5.0885335,59.2906331,LGGS J002021.25+591725.2,5.0885416667,+59.2903333333,0.100,0.100,90,1,00 20 21.25   ,+59 17 25.2   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,22.270,21.320,,,,,,,,,
0.253538,218,5.09715495,59.29504625,LGGS J002023.35+591742.2,5.0972916667,+59.2950555556,,,172,12,00 20 23.35   ,+59 17 42.2   ,D,2007AJ....133.2393M,WR*,*|WR*,,,,,WC7,,,,,,,,,,,,20.930,20.520,20.040,,,,,,,,
1.182444,219,5.10127095,59.29946325,[HL90]  99,5.1016666667,+59.2997222222,,,172,1,00 20 24.4    ,+59 17 59     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.241056,221,5.1026202,59.3050297,[TG2009] 45,5.1025416667,+59.3050833333,,,172,2,00 20 24.61   ,+59 18 18.3   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.035000,0.035000,90,19.741,18.770,18.084,,,,,,,,
0.402765,223,5.102823750000001,59.30336045,[TG2009] 46,5.1028333333,+59.3034722222,,,172,2,00 20 24.68   ,+59 18 12.5   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.017000,0.017000,90,19.029,18.370,17.774,,,,,,,,
0.597598,223,5.102823750000001,59.30336045,[H2001] 1-2,5.1025833333,+59.3034722222,,,172,3,00 20 24.62   ,+59 18 12.5   ,D,2001ApJ...559..225H,Cl*,Cl*,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.640236,225,5.0936711500000005,59.29249405,2MASS J00202240+5917332,5.0933583333,+59.2925722222,0.060,0.060,45,1,00 20 22.406  ,+59 17 33.26  ,C,2003yCat.2246....0C,Star,*|IR,,,,,,,,,,,,,,,,,19.340,18.400,17.810,15.450,14.600,14.020,,,,,
0.323243,226,5.0479064000000005,59.31390415,[TG2009] 18,5.0477916667,+59.3139722222,,,172,2,00 20 11.47   ,+59 18 50.3   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.027000,0.027000,90,19.934,18.887,17.968,,,,,,,,
0.325997,231,5.09635455,59.29375375,LGGS J002023.16+591737.7,5.0965000000,+59.2938055556,0.100,0.100,90,1,00 20 23.16   ,+59 17 37.7   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,20.570,19.950,,,,,,,,,
1.791296,231,5.09635455,59.29375375,[HL90]  83,5.0958333333,+59.2933333333,,,172,1,00 20 23.0    ,+59 17 36     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.078154,244,5.1001849,59.295850599999994,[LL2015] 58,5.1002254772,+59.2958570829,0.000,0.000,90,4,00 20 24.05411,+59 17 45.0855,A,2020yCat.1350....0G,Cl*,*|Cl*,,,,,,,0.2497,0.6312,0.538,0.079,0.549,0.652,90,0.011917,0.011917,32767,20.993,19.823,19.008,,,,,,,,
0.201890,245,5.10176235,59.2974768,LGGS J002024.44+591751.1,5.1017552926,+59.2975327645,0.001,0.001,90,1,00 20 24.42127,+59 17 51.1180,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,3.2260,1.5137,3.411,0.170,1.348,1.606,90,,,,21.520,20.770,,,,,,,,,
1.314088,245,5.10176235,59.2974768,[HL90]  95,5.1012500000,+59.2972222222,,,172,1,00 20 24.3    ,+59 17 50     ,D,,HII,HII,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.154513,247,5.05169305,59.2911137,[TG2009] 20,5.0516250000,+59.2911388889,,,172,2,00 20 12.39   ,+59 17 28.1   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.043000,0.043000,90,18.662,17.555,16.608,,,,,,,,
0.250770,247,5.05169305,59.2911137,2MASS J00201237+5917279,5.0515583333,+59.2911027778,0.060,0.060,90,1,00 20 12.374  ,+59 17 27.97  ,C,2003yCat.2246....0C,Star,*|IR,,,,,,,,,,,,,,,,,,,,13.620,12.560,12.080,,,,,
0.673288,255,5.1049008,59.301773999999995,LGGS J002025.14+591807.0,5.1047500000,+59.3019444444,0.100,0.100,90,2,00 20 25.14   ,+59 18 07.0   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,20.170,19.640,,,,,,,,,
0.737699,255,5.1049008,59.301773999999995,2MASS J00202520+5918070,5.1050375000,+59.3019666667,0.080,0.080,135,1,00 20 25.209  ,+59 18 07.08  ,C,2003yCat.2246....0C,Star,*|IR,,,,,,,,,,,,,,,,,19.960,20.860,19.450,14.950,13.960,,,,,,
0.935357,255,5.1049008,59.301773999999995,[TG2009] 48,5.1047916667,+59.3020277778,,,172,2,00 20 25.15   ,+59 18 07.3   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.015000,0.015000,90,18.752,18.043,17.301,,,,,,,,
1.457184,255,5.1049008,59.301773999999995,[H2001] 1-1,5.1047083333,+59.3021666667,,,172,2,00 20 25.13   ,+59 18 07.8   ,D,2001ApJ...559..225H,Cl*,Cl*,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.179725,256,5.1049312,59.3051066,LGGS J002025.19+591818.5,5.1048529091,+59.3051365197,0.000,0.000,90,1,00 20 25.16470,+59 18 18.4915,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,0.0066,0.4761,-0.245,0.083,0.412,0.463,90,,,,21.270,20.520,,,,,,,,,
1.974818,262,5.0923593,59.2905314,2MASS J00202199+5917244,5.0916500000,+59.2901194444,0.060,0.060,90,2,00 20 21.996  ,+59 17 24.43  ,C,2003yCat.2246....0C,Star,*|IR,,,,,,,,,,,,,,,,,22.740,20.100,18.520,14.720,13.600,13.240,,,,,
0.046452,265,5.09165695,59.29013185,2MASS J00202199+5917244,5.0916500000,+59.2901194444,0.060,0.060,90,2,00 20 21.996  ,+59 17 24.43  ,C,2003yCat.2246....0C,Star,*|IR,,,,,,,,,,,,,,,,,22.740,20.100,18.520,14.720,13.600,13.240,,,,,
0.162481,271,5.0480444,59.316064749999995,LGGS J002011.55+591857.9,5.0481250000,+59.3160833333,,,172,8,00 20 11.55   ,+59 18 57.9   ,D,2007AJ....133.2393M,WR*,*|WR*,,,,,WC4.5,,,,,,,,,,,,20.310,19.620,19.120,,,,,,,,
0.360226,280,5.096639,59.29157645,LGGS J002023.17+591729.6,5.0964626581,+59.2915328251,0.000,0.000,90,1,00 20 23.15104,+59 17 29.5182,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,0.2631,0.2990,0.162,0.207,0.276,0.311,90,,,,20.430,19.740,,,,,,,,,
1.940263,280,5.096639,59.29157645,[TCA2017] T7,5.0972916667,+59.2920000000,,,172,1,00 20 23.35   ,+59 17 31.2   ,C,2017MNRAS.472.4618T,WR*_Candidate,WR?,,,,,,,,,,,,,,,,,,,,,,,,22.231,,,
0.541931,282,5.1052712499999995,59.29901555,LGGS J002025.25+591756.9,5.1051095126,+59.2991414167,0.004,0.002,90,1,00 20 25.22628,+59 17 56.9091,C,2020yCat.1350....0G,Em*,*|Em*,,,,,,,,,,,,,,,,,21.450,20.990,,,,,,,,,
0.764115,286,5.07365935,59.321567,[TG2009] 26,5.0737083333,+59.3217777778,,,172,2,00 20 17.69   ,+59 19 18.4   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.022000,0.022000,90,21.059,20.110,19.335,,,,,,,,
0.193897,288,5.1024338,59.2952127,LGGS J002024.62+591742.7,5.1025324690,+59.2951936583,0.001,0.001,90,1,00 20 24.60779,+59 17 42.6972,A,2020yCat.1350....0G,Em*,*|Em*,,,,,,,0.1001,0.7779,-0.842,-1.397,0.721,0.829,90,,,,22.670,21.290,,,,,,,,,
1.924168,288,5.1024338,59.2952127,LGGS J002024.66+591744.6,5.1027500000,+59.2957222222,0.100,0.100,90,1,00 20 24.66   ,+59 17 44.6   ,C,2007AJ....134.2474M,Em*,*|Em*,,,,,,,,,,,,,,,,,22.760,22.060,,,,,,,,,
0.364720,292,5.09922725,59.2926264,[TG2009] 43,5.0992916667,+59.2927222222,,,172,3,00 20 23.83   ,+59 17 33.8   ,C,2015ApJ...804..123L,Cl*,Cl*,,,,,,,,,,,,,,0.020000,0.020000,90,21.017,20.041,19.371,,,,,,,,
